report_date,metric_family,channel,risk_grade,campaign_id,origination_month,months_on_book,applications,approvals,accepted,funded_count,requested_amount,funded_amount,active_loans,outstanding_principal,amount_due,amount_paid,collection_rate,dpd_1_balance,dpd_7_balance,dpd_30_balance,dpd_90_balance,touches,opens,clicks,dpd_30_rate
2026-08-12,credit,organic,A,,,0,3,1,0,0,57157.87,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,organic,B,,,0,6,2,2,2,92273.49,38965.06,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,organic,C,,,0,5,2,2,2,55685.06,16559.82,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,organic,D,,,0,6,3,2,2,168410.78,35991.15,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,organic,E,,,0,2,0,0,0,66046.61,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,paid_search,A,,,0,2,2,2,2,43646.84,40568.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,paid_search,B,,,0,5,0,0,0,196989.35,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,paid_search,C,,,0,5,2,2,2,83313.68,31523.45,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,paid_search,D,,,0,7,2,2,2,121667.2,24143.07,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,partner,B,,,0,3,1,1,1,86772.45,36806.37,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,partner,C,,,0,5,3,3,2,94113.11,42320.68,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,partner,D,,,0,4,0,0,0,91409.89,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,partner,E,,,0,1,0,0,0,8146.2,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,referral,A,,,0,1,1,0,0,9425.07,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,referral,B,,,0,1,0,0,0,23952.96,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,referral,C,,,0,5,3,3,3,58440.32,30534.09,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,referral,D,,,0,1,0,0,0,46216.13,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,referral,E,,,0,3,1,1,1,48709.1,10530.37,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,sms,A,,,0,1,1,1,1,5771.62,5155.83,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,sms,C,,,0,2,0,0,0,29748.91,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,credit,sms,E,,,0,1,1,1,1,10048.11,9671.95,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-12,portfolio,,A,,,0,0,0,0,0,0,0,24,19925.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-12,portfolio,,B,,,0,0,0,0,0,0,0,12,26163.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-12,portfolio,,C,,,0,0,0,0,0,0,0,48,73885.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-12,portfolio,,D,,,0,0,0,0,0,0,0,36,34552.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-12,portfolio,,E,,,0,0,0,0,0,0,0,24,9671.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-12,campaign,organic,,CAMP-202608-ORGANIC,,0,9,0,0,2,0,24439.04,0,0,0,0,0.0,0,0,0,0,16,7,0,0.0
2026-08-12,campaign,paid_search,,CAMP-202608-PAID_SEARCH,,0,6,0,0,2,0,30359.31,0,0,0,0,0.0,0,0,0,0,12,3,1,0.0
2026-08-12,campaign,partner,,CAMP-202608-PARTNER,,0,4,0,0,1,0,30180.69,0,0,0,0,0.0,0,0,0,0,9,2,4,0.0
2026-08-12,campaign,referral,,CAMP-202608-REFERRAL,,0,6,0,0,3,0,32447.75,0,0,0,0,0.0,0,0,0,0,10,1,2,0.0
2026-08-12,campaign,sms,,CAMP-202608-SMS,,0,1,0,0,1,0,5155.83,0,0,0,0,0.0,0,0,0,0,2,1,1,0.0
2026-08-12,vintage,,,,2026-08-01,0,0,0,0,0,0,0,144,164198.34,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2026-08-13,credit,organic,A,,,0,3,1,0,0,56579.24,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,organic,B,,,0,3,1,1,1,71540.39,7915.43,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,organic,C,,,0,8,2,2,2,240425.95,28310.32,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,organic,D,,,0,4,2,2,2,76666.57,50499.31,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,organic,E,,,0,2,0,0,0,43318.39,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,paid_search,A,,,0,1,1,1,1,10864.07,10829.03,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,paid_search,B,,,0,4,0,0,0,85201.83,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,paid_search,C,,,0,3,2,1,1,43687.95,28519.04,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,paid_search,D,,,0,3,0,0,0,86943.81,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,partner,B,,,0,2,1,1,1,27677.85,14069.43,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,partner,C,,,0,3,0,0,0,75670.72,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,partner,D,,,0,1,0,0,0,10965.5,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,referral,A,,,0,1,1,1,1,12846.19,11527.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,referral,B,,,0,1,0,0,0,63792.21,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,referral,C,,,0,2,1,1,1,66792.77,34042.71,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,referral,D,,,0,1,0,0,0,7358.56,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,referral,E,,,0,3,1,1,1,69562.66,20021.93,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,sms,A,,,0,1,1,1,1,10643.94,9941.04,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,sms,B,,,0,2,1,1,1,43571.22,17613.83,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,credit,sms,C,,,0,2,1,1,1,14863.01,7564.32,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
2026-08-13,portfolio,,A,,,0,0,0,0,0,0,0,72,56552.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-13,portfolio,,B,,,0,0,0,0,0,0,0,60,77039.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-13,portfolio,,C,,,0,0,0,0,0,0,0,120,134085.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2026-08-13,portfolio,,D,,,0,0,0,0,0,0,0,48,55573.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
